,prod_id,images,string
36,5f9dc194e1ac23428cb7d4e9,"['4ad6f8ee4470dd05856eblob', '37b0b2e034ec2742687dblob', '05f3b052da6c2b102264blob', 'ab71e2bffd031396eaaeblob', '8e26eec9b36992652ca5blob', 'a0dba030ff878a94b43fblob', '8547c84b3dc8722e6811blob', '56a53cd9f018aabb386eblob', None, None, None, None]","nike mens 928487 063 tech fleece flex popover heather grey hoodie jacket size snike mens 928487 063 tech fleece flex popover heather grey hoodie jacket size s
category: men
men"
37,5f9dc624e1ac23428cb7d4f4,"['388871694927c3d71898blob', 'f1dfc33045e27bf5c075blob', '7b7b09bb0cd3c9a58599blob', '3d25d3dd03917649d8bfblob', '82ae82973ab65369d473blob', 'ffe2d08c43445571ca1cblob', '75c3b48d7c7dddd59f95blob', '9186f0ae2164a215c0c3blob', '6ed273abd8982a42af8dblob', '96f2e71777895e0e1564blob', '96150fdaf2df22a763a3blob', None]","puma mens porsche design class full zip hoodie jacket 596587 05 size spuma mens porsche design class full zip hoodie jacket 596587 05 size s
brand: puma
model: porsche design class full zip jacket
category: men
men"
38,5f9dc6c8e1ac23428cb7d4f6,"['de9a4b00f12a332bddccblob', 'cd5db103fab32f267b3fblob', 'bdecaa0d68b65021c728blob', 'ea578caa438c7165d4a8blob', '736097aa38b32b912344blob', None, None, None, None, None, None, None]","nike mens new york knicks showtime 940896 03 gray full zip hoodie jacket size mnike mens new york knicks showtime 940896 03 gray full zip hoodie jacket size m
category: men
men"
39,5f9ef645e1ac23428cb7d6cc,"['852d797d82946aedba23blob', 'f5219ba653ee66127482blob', 'ee3c1ac1425d5261b11ablob', '1a6fefcac29840ed8a98blob', '18455691a6aa8d01c24dblob', None, None, None, None, None, None, None]","adidas mens woven fz squad 115za blue long sleeves hoodie sweatshirt size ladidas mens woven fz squad 115za blue long sleeves hoodie sweatshirt size l
category: men
men"
40,5fa8926c8c1f5a3e84f1d2ef,"['a1adcb6e2a9c6fec0172blob', '5ec0887b02b471d2dda8blob', 'c12cea214323e26c20a7blob', 'f2246a573c743d87f3e5blob', '77d50913fd52861c60a9blob', 'dd7f882908e30f290ee6blob', 'dbf56af479eef7b09dceblob', 'bb3ea25592f51512ce4cblob', '4df0bc52485f8a3c045cblob', '14c63810b2d07dede484blob', None, None]","nike mens bv2699 435 multicolor half zip long sleeve hoodie sweatshirt size xlnike mens bv2699 435 multicolor half zip long sleeve hoodie sweatshirt size xl
category: men
men"
41,5fad5c29764dee77c7d432a1,"['f22503391892754ada22blob', 'f11790c47f3dfd0782e3blob', '554b4a33121ffd2b96fdblob', 'e0af4584db990a8a96e1blob', '1b4ca3316d4f79e1be77blob', 'bf75bdb73ed904b98c90blob', '76e2b895ae605e5bc0b1blob', None, None, None, None, None]","jordan mens remastered pullover av0686-010 black hoodie size largejordan mens remastered pullover av0686-010 black hoodie size large
category: men
men"
42,5fad5cbb764dee77c7d432a4,"['e92c1747a94604df285ablob', '1511f039c5052943c4c1blob', 'fa7fff90b3a6548131f2blob', '20909e92c13c0bcab878blob', '79526e8e1fe17b1e0670blob', '216e0936c0ade9383707blob', None, None, None, None, None, None]","nike mens loose fit sweatshirt marathon ct3865 010 black hoodie size smallnike mens loose fit sweatshirt marathon ct3865 010 black hoodie size small
category: men
men"
43,5fb04d1f3fc6df179885f064,"['f504af9eb90183f10a31blob', '97a84be609d3c8b30744blob', 'a6b0c1b7713232b49f9ablob', '660e28a952209c9a5ed3blob', '10179af1dc752bbcd244blob', None, None, None, None, None, None, None]","nike mens floral sportswear club full zip  cj7049 850 red hoodie size largenike mens floral sportswear club full zip  cj7049 850 red hoodie size large
category: men
men"
44,5fb04d3b3fc6df179885f066,"['21962d86c7496b3e0475blob', '7fb5323a34600dbe7840blob', '6d4759328d8af2da7aabblob', '78ba3351838e334512c3blob', None, None, None, None, None, None, None, None]","nike mens full zip 925604 419 navy blue hoodie jacket size xlnike mens full zip 925604 419 navy blue hoodie jacket size xl
category: men
men"
45,5fb04dad3fc6df179885f06a,"['edb09dafda95ce9999bdblob', '39f8ac964656888f992dblob', '46e3f03d19d5187cc26eblob', 'b7773bb1868982ec9142blob', 'd909355a7d0c4aef8bb3blob', None, None, None, None, None, None, None]","jordan mens at9019 010 city flight pullover green hoodie size largejordan mens at9019 010 city flight pullover green hoodie size large
category: men
men"
46,5fb04dd03fc6df179885f06c,"['0cd1ce4d0c900f4b70a9blob', '0432d4e0d541888a29e3blob', '51581b8a6911bee8cf8fblob', '11ccb141f2a5b5281468blob', None, None, None, None, None, None, None, None]","nike mens sportswear bv3622 886 full sleeves multicolor hoodie size largenike mens sportswear bv3622 886 full sleeves multicolor hoodie size large
category: men
men"
47,5fb04e013fc6df179885f06e,"['fd462101b2c983cb7ce4blob', 'cc5889f11b9f1a1273b8blob', 'ddfb863799c8d3ac5c13blob', '3908cd9e6ae934eeb5dbblob', None, None, None, None, None, None, None, None]","nike mens performance football ao5918-007 gray hoodie size mediumnike mens performance football ao5918-007 gray hoodie size medium
category: men
men"
48,5fb04eb23fc6df179885f074,"['5446ff59c221d07ef785blob', 'ae624da8aa690a2cb093blob', 'f964bda99ebac81173e2blob', None, None, None, None, None, None, None, None, None]","under armour mens barren camo 1316741-999 multicolor hoodie size smunder armour mens barren camo 1316741-999 multicolor hoodie size sm
brand: under armour
category: men
men"
49,5fb1c4183fc6df179885f24a,"['5ffbc18e525290d3347bblob', '9f6b44c03c1289561e6fblob', '481d217854ee9440cbb0blob', '1b2e2a94d93372840a73blob', '67b3d1c30e68cd03d633blob', None, None, None, None, None, None, None]","nike therma mens ao4212 021 gray sideline property of ny giants hoodie sz xlnike therma mens ao4212 021 gray sideline property of ny giants hoodie sz xl
category: men
men"
50,5fb1c8993fc6df179885f24d,"['8be130f7eff5c592a84eblob', '051fc356c3df5d8f3668blob', '814807c723e613d37fbfblob', None, None, None, None, None, None, None, None, None]","nike mens court hooded long sleeve top sweatshirt hoodie 934652 121 size largenike mens court hooded long sleeve top sweatshirt hoodie 934652 121 size large
category: men
men"
51,5fbac74397546371c0eced66,"['58ee1218b9e89b93dd6eblob', '6129d5993a7f2e827923blob', 'af6e737e0e090c3341e5blob', None, None, None, None, None, None, None, None, None]","nike mens nsw sportswear 928483 438 blue tech fleece full zip hoodie size xlnike mens nsw sportswear 928483 438 blue tech fleece full zip hoodie size xl
category: men
men"
52,5fbb36c397546371c0ecee78,"['e1056763216453cdfe6ablob', '1696c18a500ca2ce0538blob', 'fbc9215d6dc504e84bb8blob', 'c8275dce80c512c76934blob', '5b401e04cc39dba1966fblob', 'baed642c7e944f887b80blob', '3aea058193578c84240fblob', None, None, None, None, None]","nike mens bv0975 010 two in one black long sleeves hoodie and vest size xlnike mens bv0975 010 two in one black long sleeves hoodie and vest size xl
category: men
men"
53,5fbf58b197546371c0ed0a11,"['5c78882945fe019479a5blob', '56d4e0c859c1a05c4811blob', '4ab71a51e6834f3dc5d6blob', None, None, None, None, None, None, None, None, None]","nike mens sportswear windrunner cj4299 070 gray hoodie zip jacket size xlnike mens sportswear windrunner cj4299 070 gray hoodie zip jacket size xl
category: men
men"
54,5fc0417097546371c0ed0ebb,"['c49e5240d0b976f520aeblob', 'd84c373d4a620095cce4blob', 'c8298d1b3a549d521515blob', '398f2e294dbc77b264e8blob', None, None, None, None, None, None, None, None]","nike mens therma flex dri fit 925604 011 gray full zip hoodie jacket size mediumnike mens therma flex dri fit 925604 011 gray full zip hoodie jacket size medium
category: men
men"
55,5fc09de597546371c0ed110f,"['3e71c2f6022fa429520dblob', '562a0a0b9ec80341c37eblob', 'd5fb3d109e6d1720d38bblob', '1d4abea4f7ca27f6868bblob', None, None, None, None, None, None, None, None]","nike mens bq8565 613 stanford cardinals long sleeves football hoodie size xlnike mens bq8565 613 stanford cardinals long sleeves football hoodie size xl
category: men
men"
56,5fc09e8297546371c0ed1116,"['fba257d7fbe8eadb2f93blob', 'f5f74ff71b5d263892e5blob', '034da3e5792ed705baa8blob', '4764e137c8ef1b0c44b7blob', '3af4565092ca37b29d74blob', None, None, None, None, None, None, None]","nike mens nfl team apparel new england patriots navy blue hoodie pullover sz xlnike mens nfl team apparel new england patriots navy blue hoodie pullover sz xl
category: men
men"
57,5fc0a27e97546371c0ed1124,"['f0be2887e0be86e3a5f1blob', '5a8e15d4349f8c119f32blob', 'a5294a6110210c1e945fblob', '9d22c9fc9e48f0cc72fdblob', '9dc0258a1b415549f0eeblob', None, None, None, None, None, None, None]","nike mens sportswear bv5385 41 full sleeves blue windbreaker hoodie size largenike mens sportswear bv5385 41 full sleeves blue windbreaker hoodie size large
category: men
men"
58,5fc27ef83e6fed6112f015e8,"['469ef1f970a089abbc63blob', '0120759962ea9dd1b101blob', 'caf12c3889b22d1fefecblob', '0705d14f8d1d7d9d79fbblob', '05fc2617b77968410128blob', '2a883556facb0e2833f3blob', '32387ce93933678a49c1blob', '7f1bcf0783c47b0a3bb4blob', '7b53a2cc077c05ceb864blob', None, None, None]","harley davidson mens slim fit gray long sleeves pullover hoodie size mediumharley davidson mens slim fit gray long sleeves pullover hoodie size medium
brand: harley davidson
category: men
men"
59,5fc283cf3e6fed6112f015f4,"['65fd63a33f7d52657c36blob', '8056362272135f4b3c61blob', '62320aadf11bcd414973blob', 'ffde90bba1a69bf905c4blob', '129ee44b86bb46260815blob', None, None, None, None, None, None, None]","nike mens air anorak bv5163 010 black pullover hoodie jacket size xlnike mens air anorak bv5163 010 black pullover hoodie jacket size xl
category: men
men"
60,5fc2863c3e6fed6112f01608,"['8fa64659d2be536752fbblob', '8656f2e1ba0f8dc8f1dcblob', '60ea9919f2bc87857deablob', None, None, None, None, None, None, None, None, None]","nike mens sportswear ar5233 652 burgundy full zip printed logo hoodie size mnike mens sportswear ar5233 652 burgundy full zip printed logo hoodie size m
category: men
men"
61,5fc288d43e6fed6112f01612,"['025a733640e5c86183cbblob', '61076d06f1f9d2e3ce90blob', '63f973033899d6fba4b0blob', None, None, None, None, None, None, None, None, None]","adidas mens usa volleyball dy2410 black windbreaker hoodie jacket size largeadidas mens usa volleyball dy2410 black windbreaker hoodie jacket size large
category: men
men"
62,5fc8492a8b6e7e34dd0a87a9,"['8258e3dd817eb1d22abbblob', '4782ffc155890b4dbe31blob', 'a41efc00922372c911a6blob', None, None, None, None, None, None, None, None, None]","adidas mens ed6273 black rare watercolor long sleeve hoodie size mediumadidas mens ed6273 black rare watercolor long sleeve hoodie size medium
category: men
men"
63,5fc887de8b6e7e34dd0a8a9c,"['cc5f5657bdff2fedf66bblob', 'ce7b1f97451daa9fed11blob', 'd4c4479c8395d4e09439blob', '4bc4f0f57d5f015539c3blob', 'e55e188997abb9bdabbbblob', '75a851cf362dd3612069blob', '79ceb94836f498879184blob', None, None, None, None, None]","nike mens kansas city chiefs super bowl liv nfl showout hoodie jacket size 4xlnike mens kansas city chiefs super bowl liv nfl showout hoodie jacket size 4xl
category: men
men"
